Time;Channel A
(ms);(mV)

0,60137404;-197,80570000
0,60201404;-197,80570000
0,60265404;-197,80570000
0,60329404;-197,80570000
0,60393404;-197,80570000
0,60457404;-197,80570000
0,60521404;-197,80570000
0,60585404;-197,80570000
0,60649404;-197,80570000
0,60713404;-197,80570000
0,60777404;-197,80570000
0,60841404;-197,80570000
0,60905404;-197,80570000
0,60969404;-197,80570000
0,61033404;-197,80570000
0,61097404;-202,20040000
0,61161404;-197,80570000
0,61225404;-197,80570000
0,61289404;-197,80570000
0,61353404;-197,80570000
0,61417404;-197,80570000
0,61481404;-197,80570000
0,61545404;-197,80570000
0,61609404;-197,80570000
0,61673404;-197,80570000
0,61737404;-197,80570000
0,61801404;-197,80570000
0,61865404;-197,80570000
0,61929404;-202,20040000
0,61993404;-197,80570000
0,62057404;-197,80570000
0,62121404;-197,80570000
0,62185404;-202,20040000
0,62249404;-197,80570000
0,62313404;-197,80570000
0,62377404;-197,80570000
0,62441404;-197,80570000
0,62505404;-197,80570000
0,62569404;-197,80570000
0,62633404;-197,80570000
0,62697404;-197,80570000
0,62761404;-197,80570000
0,62825404;-197,80570000
0,62889404;-197,80570000
0,62953404;-197,80570000
0,63017404;-197,80570000
0,63081404;-197,80570000
0,63145404;-197,80570000
0,63209404;-197,80570000
0,63273404;-197,80570000
0,63337404;-197,80570000
0,63401404;-197,80570000
